track_name,artist_name,ms_played,minutes_played
Sexual Healing - Kygo Remix,Marvin Gaye,340855,5.68
Yo Soy Quien Soy,Pedro Infante,150308,2.51
La Indicada,Kevin Ortiz,169186,2.82
Drag Me Down,One Direction,192106,3.20
Want to Want Me,Jason Derulo,207719,3.46
Ain't Nobody (Loves Me Better),Felix Jaehn,186146,3.10
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,187741,3.13
"Flashlight - From ""Pitch Perfect 2"" Soundtrack",Jessie J,205868,3.43
Sun Is Shining,Axwell /\ Ingrosso,215783,3.60
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,124366,2.07
Headlights (feat. Ilsey),Robin Schulz,209208,3.49
King,Olly Alexander (Years & Years),215360,3.59
All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,191982,3.20
"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",Flo Rida,224258,3.74
Cool for the Summer,Demi Lovato,191193,3.19
Stole the Show,Kygo,222801,3.71
Sun Is Shining,Axwell /\ Ingrosso,255066,4.25
Omen - Radio Edit,Disclosure,196817,3.28
You Know You Like It,DJ Snake,247266,4.12
Beautiful Now,Zedd,195287,3.25
Culpable,David Bisbal,158829,2.65
Stitches,Shawn Mendes,206880,3.45
Sugar (feat. Francesco Yates),Robin Schulz,135465,2.26
Is There Somewhere,Halsey,131000,2.18
Renegade,JAY-Z,152211,2.54
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,283142,4.72
Juicy - 2007 Remaster,The Notorious B.I.G.,300512,5.01
The Love Song,K-OS,258159,4.30
Swim Good,Frank Ocean,158267,2.64
Radioactive,Imagine Dragons,221609,3.69
Blood On The Leaves,Kanye West,222641,3.71
Jesus Walks,Kanye West,126117,2.10
Hypnotize - 2007 Remaster,The Notorious B.I.G.,127706,2.13
Till I Collapse,Eminem,178110,2.97
Rap God,Eminem,363521,6.06
Legacy,Eminem,296269,4.94
Evil Twin - Skit,Eminem,453925,7.57
So Far...,Eminem,317580,5.29
Rhyme Or Reason,Eminem,301721,5.03
Survival,Eminem,272417,4.54
Brainless,Eminem,286525,4.78
So Much Better,Eminem,261386,4.36
Stronger Than I Was,Eminem,336519,5.61
Bad Guy,Eminem,434077,7.23
Berzerk,Eminem,238746,3.98
Marvin Gaye (feat. Meghan Trainor),Charlie Puth,147539,2.46
Reality (feat. Janieck Devy) - Radio Edit,Lost Frequencies,158474,2.64
Are You With Me - Radio Edit,Lost Frequencies,138843,2.31
Better Together,Fifth Harmony,163185,2.72
"""Hit the Quan"" #HTQ",iLoveMemphis,130559,2.18
Cinemetropolis,Blue Scholars,183585,3.06
Are You With Me - Radio Edit,Lost Frequencies,175204,2.92
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,192560,3.21
Ginza,J Balvin,170186,2.84
Piénsalo,Banda MS de Sergio Lizárraga,156040,2.60
Ecos De Amor,Jesse & Joy,213484,3.56
What Do You Mean?,Justin Bieber,208008,3.47
What Do You Mean?,Justin Bieber,207546,3.46
Sun Is Shining,Axwell /\ Ingrosso,232338,3.87
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,127099,2.12
Rock & Roll,The Velvet Underground,144061,2.40
A Day in the Life (feat. Miley Cyrus & New Fumes),The Flaming Lips,294946,4.92
Settle,Two Door Cinema Club,130728,2.18
Let Her Go,Passenger,225744,3.76
Cinemetropolis,Blue Scholars,243298,4.05
Next To Me - And The Stars,Silent Waves,268800,4.48
Working Mind (Relaxing Sounds of Nature),Ayurveda Massage Music Specialists,236492,3.94
Calmante,Musica Relajante,481906,8.03
Glowstick,Deep Divers,292034,4.87
Ambient Music for Lucid Dreaming and Concentration,Meditation Music Masters,241000,4.02
Ballade Pour Adeline,Luc Serra,360000,6.00
Relaxation or True Relaxation - Nature Sounds for Well Being,Spa Music Collective,183994,3.07
Vitality - Relaxing Music for Zen Meditation and Deep Breathing,Spa Music Collective,338825,5.65
Abandoned,Enzo,262284,4.37
The Cage (Be my baby),Deep Divers,223654,3.73
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,321649,5.36
Nightlife / Please Send Me Someone to Love,B.B. King,256162,4.27
Guilty Filthy Soul,AWOLNATION,166208,2.77
Paradise City,Guns N' Roses,406306,6.77
My Way,Frank Sinatra,255883,4.26
Guilty Filthy Soul,AWOLNATION,213485,3.56
THISKIDSNOTALRIGHT,AWOLNATION,161200,2.69
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,306085,5.10
Cinemetropolis,Blue Scholars,149490,2.49
And We Danced (feat. Ziggy Stardust),Macklemore,246213,4.10
Check Yes Juliet,We The Kings,202053,3.37
Let Her Go,Passenger,252733,4.21
Sugar,Maroon 5,235492,3.92
Animals,Maroon 5,231012,3.85
Hall of Fame (feat. will.i.am),The Script,202533,3.38
All of Me,John Legend,269560,4.49
Sugar,Maroon 5,235492,3.92
Superheroes,The Script,243906,4.07
If You Ever Come Back,The Script,241653,4.03
No Good in Goodbye,The Script,152694,2.54
It's Not Right for You,The Script,264733,4.41
Hail Rain or Sunshine,The Script,207293,3.45
These Streets,Bastille,175146,2.92
Take Me To Church,Hozier,241688,4.03
All The Way,Frank Sinatra,171920,2.87
What Do You Mean?,Justin Bieber,414454,6.91
Often - Kygo Remix,The Weeknd,234400,3.91
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,426961,7.12
Tommy Chong,Blue Scholars,252480,4.21
Renegade,JAY-Z,337760,5.63
Drag Me Down,One Direction,192106,3.20
Bad Blood,Bastille,212613,3.54
Chains of Love,B.B. King,154066,2.57
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,316673,5.28
Check Yes Juliet,We The Kings,220146,3.67
Millionaires,The Script,189466,3.16
Animals,Maroon 5,231012,3.85
Hail Rain or Sunshine,The Script,207293,3.45
Hall of Fame (feat. will.i.am),The Script,202533,3.38
Let Her Go,Passenger,252733,4.21
Creo en Ti,Reik,165653,2.76
No Good in Goodbye,The Script,307680,5.13
It's Not Right for You,The Script,264733,4.41
Photograph,Ed Sheeran,258986,4.32
Sugar,Maroon 5,235492,3.92
Good Times Bad Times - 1993 Remaster,Led Zeppelin,166266,2.77
Kill Your Heroes,AWOLNATION,178841,2.98
Old Thing Back (feat. Ja Rule and Ralph Tresvant),Matoma,321649,5.36
Mo Money Mo Problems (feat. Mase & Puff Daddy),The Notorious B.I.G.,167787,2.80
Latch - Acoustic,Sam Smith,221049,3.68
Where Are Ü Now,Gardiner Sisters,186504,3.11
Soft Shock - acoustic,Yeah Yeah Yeahs,205146,3.42
Re: Stacks,Bon Iver,401413,6.69
Backwards,Tame Impala,234746,3.91
Rent I Pay,Spoon,189493,3.16
Apple Pie Bed,Lawrence Arabia,142895,2.38
Blue Meanies,Opossom,199691,3.33
The Scientist,Coldplay,311426,5.19
Coming Home,Leon Bridges,206386,3.44
Don't Carry It All,The Decemberists,256560,4.28
Yellow Eyes,Rayland Baxter,230786,3.85
Put Your Records On,Corinne Bailey Rae,133746,2.23
Caroline,Jon Foreman,248763,4.15
Seventeen,Alessia Cara,212933,3.55
Counting Stars,OneRepublic,245620,4.09
Crazy,Kat Dahlia,211653,3.53
All About Us,He Is We,206560,3.44
Tonight You're Perfect,New Politics,202106,3.37
Somebody To You,The Vamps,183051,3.05
Let Me Down Easy,Sheppard,128174,2.14
Younger,Julie Bergan,161564,2.69
True Love,Coldplay,246000,4.10
Love,American Authors,198280,3.30
Wild Heart,The Vamps,191040,3.18
19 You + Me,Dan + Shay,217406,3.62
The John Wayne,Little Green Cars,291636,4.86
Diamonds in the Dark,Dark Waves,194302,3.24
The Sea,Silences,210833,3.51
Crystals,Of Monsters and Men,243533,4.06
Renegades,X Ambassadors,195199,3.25
Empire,Of Monsters and Men,256719,4.28
I Can't Explain,Surfer Blood,263640,4.39
Freazy,Wolf Alice,194853,3.25
The Wolf,Mumford & Sons,221223,3.69
Snake Eyes,Mumford & Sons,248546,4.14
Peaches,In The Valley Below,260481,4.34
Ordinary Love,U2,159613,2.66
Paraíso,Dvicio,179333,2.99
Sun Is Shining,Axwell /\ Ingrosso,255066,4.25
Stole the Show,Kygo,222801,3.71
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign,133700,2.23
Watch Me (Whip / Nae Nae),Silentó,185131,3.09
What Do You Mean?,Justin Bieber,286197,4.77
Paraíso,Dvicio,179333,2.99
New Problems,Cody Simpson,226306,3.77
Zorbing,Stornoway,209360,3.49
You're Too Weird,Fruit Bats,226120,3.77
Just One of the Guys,Jenny Lewis,231826,3.86
Until The End,Friska Viljor,249013,4.15
Weekend,Smith Westerns,202026,3.37
Awkward - EP Version,San Cisco,153933,2.57
Lonely One,Dresses,175760,2.93
Salad Days,Mac DeMarco,145893,2.43
Shots,Imagine Dragons,232333,3.87
Itchin' on a Photograph,GROUPLOVE,259506,4.33
In Our Blood - at Spotify Live,Youngblood Hawke,228440,3.81
Ordinary Human,OneRepublic,290493,4.84
